Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,GOOG,GOOG,GOOG,GOOG,GOOG,,,
2022-04-28,2022,4,28,Thursday,17,2022-17,116.09,119.39,114.14,118.37,36790000,0.038175927422851696,124.48785714285715,131.4368
2022-04-29,2022,4,29,Friday,17,2022-17,116.55,117.92,113.69,113.96,33694000,-0.037224397970004874,123.1392857142857,130.99020000000002
2022-05-02,2022,5,2,Monday,18,2022-18,112.91,116.31,112.41,116.13,30280000,0.019053448536608952,122.24428571428572,130.6898
2022-05-03,2022,5,3,Tuesday,18,2022-18,115.74,118.26,115.61,117.1,21216000,0.008300794466040706,121.51928571428572,130.4452
2022-05-04,2022,5,4,Wednesday,18,2022-18,116.97,122.07,114.73,121.5,33232000,0.03763248584568735,120.97285714285714,130.30980000000002
2022-05-05,2022,5,5,Thursday,18,2022-18,119.17,120.17,114.18,115.73,43090000,-0.04755051225883533,120.2292857142857,130.095
2022-05-06,2022,5,6,Friday,18,2022-18,114.51,116.47,113.15,114.65,35310000,-0.009306349536713054,119.35857142857142,129.75779999999997
2022-05-09,2022,5,9,Monday,19,2022-19,112.31,114.55,111.57,112.1,34520000,-0.02227226744288957,118.12357142857142,129.333
2022-05-10,2022,5,10,Tuesday,19,2022-19,115.03,115.67,112.39,113.58,31158000,0.01326891907398875,117.15642857142858,128.9304
2022-05-11,2022,5,11,Wednesday,19,2022-19,112.72,115.65,112.66,112.97,36502000,-0.00544152262415587,116.37928571428571,128.5298
2022-05-12,2022,5,12,Thursday,19,2022-19,110.96,113.85,109.15,112.17,41464000,-0.007019731132505536,115.92214285714284,128.1018
2022-05-13,2022,5,13,Friday,19,2022-19,113.84,117.05,113.0,115.5,29738000,0.029643576257062376,115.44571428571429,127.7492
2022-05-16,2022,5,16,Monday,20,2022-20,114.38,115.59,113.34,113.79,23282000,-0.014787709441851704,115.11214285714286,127.40559999999999
2022-05-17,2022,5,17,Tuesday,20,2022-20,116.2,116.2,114.33,115.68,21576000,0.016629826893631128,115.23071428571428,127.212
2022-05-18,2022,5,18,Wednesday,20,2022-20,114.23,114.68,111.16,111.42,27982000,-0.03685037421647741,114.73428571428572,126.91699999999999
2022-05-19,2022,5,19,Thursday,20,2022-20,110.86,112.59,109.5,109.78,29192000,-0.014728565709929087,114.4357142857143,126.4586
2022-05-20,2022,5,20,Friday,20,2022-20,111.11,111.57,105.44,108.36,37586000,-0.012934946776556044,113.88071428571428,125.99539999999999
2022-05-23,2022,5,23,Monday,21,2022-21,109.14,111.03,108.2,110.69,31558000,0.021529919689657895,113.42285714285715,125.62240000000001
2022-05-24,2022,5,24,Tuesday,21,2022-21,105.45,105.47,101.31,105.0,60386000,-0.05140760864920246,112.24428571428572,125.20980000000002
2022-05-25,2022,5,25,Wednesday,21,2022-21,104.22,105.61,103.3,104.91,37900000,-0.000816633959649482,111.47142857142858,124.7374
2022-05-26,2022,5,26,Thursday,21,2022-21,105.12,108.0,104.57,107.35,30288000,0.02320964344381249,110.95,124.234
2022-05-27,2022,5,27,Friday,21,2022-21,108.83,111.88,108.59,111.81,29924000,0.041580561680853556,110.92928571428571,123.8018
